institutes,geo.cities,geo.states,geo.countries,input.name,input.city,input.state,input.country
"[{'institute': {'id': 'grid.263451.7', 'name': 'Shantou University', 'city': 'Shantou', 'state': 'Guangdong', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1795940, 'name': 'Shantou'}]","[{'geonames_id': 1809935, 'name': 'Guangdong', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Shantou University,nan,nan,China
"[{'institute': {'id': 'grid.38142.3c', 'name': 'Harvard University', 'city': 'Cambridge', 'state': 'Massachusetts', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4931972, 'name': 'Cambridge'}]","[{'geonames_id': 6254926, 'name': 'Massachusetts', 'code': 'US-MA'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",Harvard University,nan,nan,United States
"[{'institute': {'id': 'grid.187082.4', 'name': 'University of Houston System', 'city': 'Houston', 'state': 'Texas', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4699066, 'name': 'Houston'}]","[{'geonames_id': 4736286, 'name': 'Texas', 'code': 'US-TX'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",University of Houston System,nan,nan,United States
"[{'institute': {'id': 'grid.80510.3c', 'name': 'Sichuan Agricultural University', 'city': 'Yucheng', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1787816, 'name': 'Yucheng'}]","[{'geonames_id': 1794299, 'name': 'Sichuan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Sichuan Agricultural University,nan,nan,China
"[{'institute': {'id': 'grid.94365.3d', 'name': 'National Institutes of Health', 'city': 'Bethesda', 'state': 'Maryland', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4348599, 'name': 'Bethesda'}]","[{'geonames_id': 4361885, 'name': 'Maryland', 'code': 'US-MD'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",National Institutes of Health,nan,nan,United States
"[{'institute': {'id': 'grid.5254.6', 'name': 'University of Copenhagen', 'city': 'Copenhagen', 'state': None, 'country': 'Denmark'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2618425, 'name': 'Copenhagen'}]","[{'geonames_id': 6418538, 'name': 'Capital Region', 'code': None}]","[{'geonames_id': 2623032, 'name': 'Denmark', 'code': 'DK'}]",University of Copenhagen,nan,nan,Denmark
"[{'institute': {'id': 'grid.263452.4', 'name': 'Shanxi Medical University', 'city': 'Taiyuan', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1793511, 'name': 'Taiyuan'}]","[{'geonames_id': 1795912, 'name': 'Shanxi', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Shanxi Medical University,nan,nan,China
"[{'institute': {'id': 'grid.64523.36', 'name': 'National Cheng Kung University', 'city': 'Tainan City', 'state': None, 'country': 'Taiwan'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1668355, 'name': 'Tainan'}]","[{'geonames_id': 7280291, 'name': 'Taiwan', 'code': None}]","[{'geonames_id': 1668284, 'name': 'Taiwan', 'code': 'TW'}]",National Cheng Kung University,nan,nan,Taiwan
"[{'institute': {'id': 'grid.411489.1', 'name': 'Magna Graecia University', 'city': 'Catanzaro', 'state': None, 'country': 'Italy'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2525059, 'name': 'Catanzaro'}]","[{'geonames_id': 2525468, 'name': 'Calabria', 'code': None}]","[{'geonames_id': 3175395, 'name': 'Italy', 'code': 'IT'}]",Magna Graecia University,nan,nan,Italy
"[{'institute': {'id': 'grid.417467.7', 'name': 'Mayo Clinic', 'city': 'Jacksonville', 'state': 'Florida', 'country': 'United States'}, 'metadata': {'requires_manual_review': True}}, {'institute': {'id': 'grid.417468.8', 'name': 'Mayo Clinic', 'city': 'Scottsdale', 'state': 'Arizona', 'country': 'United States'}, 'metadata': {'requires_manual_review': True}}]","[{'geonames_id': 5313457, 'name': 'Scottsdale'}, {'geonames_id': 4160021, 'name': 'Jacksonville'}]","[{'geonames_id': 5551752, 'name': 'Arizona', 'code': 'US-AZ'}, {'geonames_id': 4155751, 'name': 'Florida', 'code': 'US-FL'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",Mayo Clinic,nan,nan,United States
