matches,input.affiliation
"[{'institutes': [{'institute': {'id': 'grid.168010.e', 'name': 'Stanford University', 'city': 'Stanford', 'state': 'California', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5398563, 'name': 'Stanford'}], 'states': [{'geonames_id': 5332921, 'name': 'California', 'code': 'US-CA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Stanford University'}]",Stanford University
"[{'institutes': [{'institute': {'id': 'grid.38142.3c', 'name': 'Harvard University', 'city': 'Cambridge', 'state': 'Massachusetts', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4931972, 'name': 'Cambridge'}], 'states': [{'geonames_id': 6254926, 'name': 'Massachusetts', 'code': 'US-MA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Harvard University'}]",Harvard University
"[{'institutes': [{'institute': {'id': 'grid.20861.3d', 'name': 'California Institute of Technology', 'city': 'Pasadena', 'state': 'California', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5381396, 'name': 'Pasadena'}], 'states': [{'geonames_id': 5332921, 'name': 'California', 'code': 'US-CA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'California Institute of Technology (Caltech)'}]",California Institute of Technology (Caltech)
"[{'institutes': [{'institute': {'id': 'grid.4991.5', 'name': 'University of Oxford', 'city': 'Oxford', 'state': 'Oxfordshire', 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2640729, 'name': 'Oxford'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'University of Oxford'}]",University of Oxford
"[{'institutes': [{'institute': {'id': 'grid.5801.c', 'name': 'ETH Zurich', 'city': 'Zurich', 'state': None, 'country': 'Switzerland'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 2657896, 'name': 'Zurich'}], 'states': [{'geonames_id': 2657895, 'name': 'Zurich', 'code': None}], 'countries': [{'geonames_id': 2658434, 'name': 'Switzerland', 'code': 'CH'}]}, 'affiliation_part': 'ETH Zurich (Swiss Federal Institute of Technology)'}]",ETH Zurich (Swiss Federal Institute of Technology)
"[{'institutes': [{'institute': {'id': 'grid.5335.0', 'name': 'University of Cambridge', 'city': 'Cambridge', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2653941, 'name': 'Cambridge'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'University of Cambridge'}]",University of Cambridge
"[{'institutes': [{'institute': {'id': 'grid.7445.2', 'name': 'Imperial College London', 'city': 'London', 'state': 'Westminster', 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2643743, 'name': 'London'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'Imperial College London'}]",Imperial College London
"[{'institutes': [{'institute': {'id': 'grid.170205.1', 'name': 'University of Chicago', 'city': 'Chicago', 'state': 'Illinois', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4887398, 'name': 'Chicago'}], 'states': [{'geonames_id': 4896861, 'name': 'Illinois', 'code': 'US-IL'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of Chicago'}]",University of Chicago
"[{'institutes': [{'institute': {'id': 'grid.83440.3b', 'name': 'University College London', 'city': 'London', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 2643743, 'name': 'London'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'UCL (University College London)'}]",UCL (University College London)
"[{'institutes': [{'institute': {'id': 'grid.4280.e', 'name': 'National University of Singapore', 'city': 'Singapore', 'state': None, 'country': 'Singapore'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1880252, 'name': 'Singapore'}], 'states': [], 'countries': [{'geonames_id': 1880251, 'name': 'Singapore', 'code': 'SG'}]}, 'affiliation_part': 'National University of Singapore (NUS)'}]",National University of Singapore (NUS)
