grid_id,institute,city,state,country,requires_manual_review,alt_grid_id,alt_institute,input_name,input_city,input_state,input_country,wos_institute_name
grid.5342.0,Ghent University,Ghent,NA,Belgium,FALSE,NA,NA,UNIVERSITY GENT,GENT,nan,Belgium,UNIV GENT
NA,NA,NA,NA,NA,NA,NA,NA,NATIONAL INSTITUTE CRIMINALIST & CRIMINOL,BRUSSELS,nan,Belgium,NATL INST CRIMINALIST & CRIMINOL
grid.412041.2,University of Bordeaux,Bordeaux,NA,France,FALSE,NA,NA,UNIVERSITY BORDEAUX I SCIENCE TECHNOLOGY,BORDEAUX,nan,France,UNIV BORDEAUX I SCI TECHNOL
grid.412041.2,University of Bordeaux,Bordeaux,NA,France,FALSE,NA,NA,UNIVERSITY BORDEAUX,BORDEAUX,nan,France,UNIV BORDEAUX
grid.412041.2,University of Bordeaux,Bordeaux,NA,France,FALSE,NA,NA,PRES UNIVERSITY BORDEAUX,BORDEAUX,nan,France,PRES UNIV BORDEAUX
grid.4444.0,French National Centre for Scientific Research,Paris,NA,France,FALSE,NA,NA,CNRS,PARIS,nan,France,CNRS
grid.7429.8,Inserm,Paris,NA,France,FALSE,NA,NA,INSERM,PARIS,nan,France,INSERM
grid.263536.7,Shizuoka University,Shizuoka,NA,Japan,FALSE,NA,NA,SHIZUOKA UNIVERSITY,SHIZUOKA,nan,Japan,SHIZUOKA UNIV
NA,NA,NA,NA,NA,NA,NA,NA,SHIZUOKA AMBIGUOUS,SHIZUOKA,nan,Japan,SHIZUOKA AMBIGUOUS
grid.39158.36,Hokkaido University,Sapporo,Hokkaid√¥,Japan,FALSE,NA,NA,HOKKAIDO UNIVERSITY,SAPPORO,nan,Japan,HOKKAIDO UNIV
grid.10493.3f,University of Rostock,Rostock,NA,Germany,FALSE,NA,NA,UNIVERSITY ROSTOCK,ROSTOCK,nan,Germany,UNIV ROSTOCK
grid.17089.37,University of Alberta,Edmonton,Alberta,Canada,FALSE,NA,NA,UNIVERSITY ALBERTA,EDMONTON,nan,Canada,UNIV ALBERTA
grid.136593.b,Osaka University,Osaka,NA,Japan,FALSE,NA,NA,OSAKA UNIVERSITY,OSAKA,nan,Japan,OSAKA UNIV
grid.28312.3a,National Institute of Information and Communications Technology,Tokyo,T√¥ky√¥,Japan,FALSE,NA,NA,NATIONAL INSTITUTE INFORMATION & COMMUNICATION TECHNOLOGY,TOKYO,nan,Japan,NATL INST INFORMAT & COMMUN TECHNOL
grid.1017.7,RMIT University,Melbourne,Victoria,Australia,FALSE,NA,NA,ROYAL MELBOURNE INSTITUTE TECHNOLOGY,MELBOURNE,nan,Australia,ROYAL MELBOURNE INST TECHNOL
grid.21925.3d,University of Pittsburgh,Pittsburgh,Pennsylvania,United States,FALSE,NA,NA,UNIVERSITY PITTSBURGH MEDICINE CENTER,PITTSBURGH,nan,United States,UNIV PITTSBURGH MED CTR
grid.21925.3d,University of Pittsburgh,Pittsburgh,Pennsylvania,United States,FALSE,NA,NA,UNIVERSITY PITTSBURGH,PITTSBURGH,nan,United States,UNIV PITTSBURGH
grid.239553.b,Children's Hospital of Pittsburgh,Pittsburgh,Pennsylvania,United States,FALSE,NA,NA,CHILDRENS HOSPITAL PITTSBURGH,PITTSBURGH,nan,United States,CHILDRENS HOSP PITTSBURGH
grid.414916.f,Kaleida Health,Buffalo,New York,United States,FALSE,NA,NA,KALEIDA HEALTH SYSTEM,BUFFALO,nan,United States,KALEIDA HLTH SYST
grid.189747.4,State University of New York,Albany,New York,United States,FALSE,NA,NA,STATE UNIVERSITY NEW YORK SUNY,ALBANY,nan,United States,STATE UNIV NEW YORK SUNY
grid.273335.3,"University at Buffalo, State University of New York",Buffalo,New York,United States,FALSE,NA,NA,SUNY BUFFALO - BUFFALO,BUFFALO,nan,United States,SUNY BUFFALO - BUFFALO
grid.49697.35,University of Pretoria,Pretoria,NA,South Africa,FALSE,NA,NA,UNIVERSITY PRETORIA,PRETORIA,nan,South Africa,UNIV PRETORIA
grid.7839.5,Goethe University Frankfurt,Frankfurt am Main,Hessen,Germany,FALSE,NA,NA,JOHANN WOLFGANG GOETHE UNIVERSITY FRANKFORT,FRANKFURT AM MAIN,nan,Germany,JOHANN WOLFGANG GOETHE UNIV FRANKFORT
grid.10854.38,Osnabr√ºck University,Osnabr√ºck,NA,Germany,FALSE,NA,NA,UNIVERSITY OSNABRUCK,OSNABRUCK,nan,Germany,UNIV OSNABRUCK
grid.116068.8,Massachusetts Institute of Technology,Cambridge,Massachusetts,United States,FALSE,NA,NA,MIT,CAMBRIDGE,nan,United States,MIT
grid.38142.3c,Harvard University,Cambridge,Massachusetts,United States,FALSE,NA,NA,HARVARD UNIVERSITY,CAMBRIDGE,nan,United States,HARVARD UNIV
grid.240206.2,McLean Hospital,Belmont,Massachusetts,United States,FALSE,NA,NA,MCLEAN HOSPITAL,BELMONT,nan,United States,MCLEAN HOSP
grid.16416.34,University of Rochester,Rochester,New York,United States,FALSE,NA,NA,UNIVERSITY ROCHESTER,ROCHESTER,nan,United States,UNIV ROCHESTER
grid.1001.0,Australian National University,Canberra,Australian Capital Territory,Australia,FALSE,NA,NA,AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,nan,Australia,AUSTRALIAN NATL UNIV
grid.5333.6,École Polytechnique Fédérale de Lausanne,NA,NA,NA,NA,NA,NA,ECOLE POLYTECN FEDERALE LAUSANNE,LAUSANNE,nan,Switzerland,ECOLE POLYTECN FEDERALE LAUSANNE
grid.10420.37,University of Vienna,Vienna,NA,Austria,FALSE,NA,NA,VET UNIVERSITY WIEN,VIENNA,nan,Austria,VET UNIV WIEN
grid.5338.d,University of Valencia,Valencia,NA,Spain,FALSE,NA,NA,UNIVERSITY VALENCIA,VALENCIA,nan,Spain,UNIV VALENCIA
grid.39382.33,Baylor College of Medicine,Houston,Texas,United States,FALSE,NA,NA,BAYLOR COLLEGE MEDICINE,HOUSTON,nan,United States,BAYLOR COLL MED
grid.416975.8,Texas Children's Hospital,Houston,Texas,United States,FALSE,NA,NA,TEXAS CHILDRENS HOSPITAL,HOUSTON,nan,United States,TEXAS CHILDRENS HOSP
grid.26811.3c,Miguel Hernandez University,Elche,Alicante,Spain,FALSE,NA,NA,UNIVERSITY MIGUEL HERNANDEZ ELCHE,ELCHE,nan,Spain,UNIV MIGUEL HERNANDEZ ELCHE
grid.4489.1,University of Granada,Granada,NA,Spain,FALSE,NA,NA,UNIVERSITY GRANADA,GRANADA,nan,Spain,UNIV GRANADA
grid.410367.7,Rovira i Virgili University,Tarragona,NA,Spain,FALSE,NA,NA,UNIVERSITY ROVIRA & VIRGILI TARRAGONA,TARRAGONA,nan,Spain,UNIV ROVIRA & VIRGILI TARRAGONA
NA,NA,NA,NA,NA,NA,NA,NA,IDIBGI GIRONA,GIRONA,nan,Spain,IDIBGI GIRONA
grid.411160.3,Hospital Sant Joan de D√©u Barcelona,Barcelona,NA,Spain,FALSE,NA,NA,HOSPITAL SANT JOAN DE DEU,BARCELONA,nan,Spain,HOSP SANT JOAN DE DEU
grid.27860.3b,"University of California, Davis",Davis,California,United States,FALSE,NA,NA,UNIVERSITY CALIFORNIA DAVIS,DAVIS,nan,United States,UNIV CALIF DAVIS
grid.30389.31,University of California System,Oakland,California,United States,FALSE,NA,NA,UNIVERSITY CALIFORNIA,OAKLAND,nan,United States,UNIV CALIFORNIA
grid.410442.7,University of Nebraska System,Lincoln,Nebraska,United States,FALSE,NA,NA,UNIVERSITY NEBRASKA SYSTEM,LINCOLN,nan,United States,UNIV NEBRASKA SYST
grid.24434.35,University of Nebraska‚ÄìLincoln,Lincoln,Nebraska,United States,FALSE,NA,NA,UNIVERSITY NEBRASKA - LINCOLN,LINCOLN,nan,United States,UNIV NEBRASKA - LINCOLN
grid.411327.2,Heinrich Heine University D√ºsseldorf,D√ºsseldorf,NA,Germany,FALSE,NA,NA,HEINRICH HEINE UNIVERSITY DUSSELDORF,D√úSSELDORF,nan,Germany,HEINRICH HEINE UNIV DUSSELDORF
grid.4491.8,Charles University,Prague,NA,Czechia,FALSE,NA,NA,CHARLES UNIVERSITY PRAGUE,PRAGUE,nan,Czech Republic,CHARLES UNIV PRAGUE
grid.10267.32,Masaryk University,Brno,NA,Czechia,FALSE,NA,NA,MASARYK UNIVERSITY BRNO,BRNO,nan,Czech Republic,MASARYK UNIV BRNO
NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY ESTADUAL MARINGA,MARINGA,nan,Brazil,UNIV ESTADUAL MARINGA
grid.8484.0,University of Ferrara,Ferrara,NA,Italy,FALSE,NA,NA,UNIVERSITY FERRARA,FERRARA,nan,Italy,UNIV FERRARA
grid.7548.e,University of Modena and Reggio Emilia,Modena,NA,Italy,FALSE,NA,NA,UNIVERSITY MODENA & REGGIO EMILIA,MODENA,nan,Italy,UNIV MODENA & REGGIO EMILIA
grid.7605.4,University of Turin,Turin,Piemonte,Italy,FALSE,NA,NA,UNIVERSITY TORINO,TURIN,nan,Italy,UNIV TORINO
grid.5942.a,Elettra Sincrotrone Trieste,Trieste,NA,Italy,FALSE,NA,NA,SINCROTRONE TRIESTE SCPA,TRIESTE,nan,Italy,SINCROTRONE TRIESTE SCPA
grid.8767.e,Vrije Universiteit Brussel,Brussels,NA,Belgium,FALSE,NA,NA,VRIJE UNIVERSITY BRUSSEL,BRUSSELS,nan,Belgium,VRIJE UNIV BRUSSEL
grid.258269.2,Juntendo University,Tokyo,NA,Japan,FALSE,NA,NA,JUNTENDO UNIVERSITY,TOKYO,nan,Japan,JUNTENDO UNIV
grid.8761.8,University of Gothenburg,Gothenburg,NA,Sweden,FALSE,NA,NA,GOTEBORG UNIVERSITY,GOTHENBURG,nan,Sweden,GOTEBORG UNIV
grid.4714.6,Karolinska Institute,Stockholm,NA,Sweden,FALSE,NA,NA,KAROLINSKA INSTITUTE STOCKHOLM,STOCKHOLM,nan,Sweden,KAROLINSKA INST STOCKHOLM
grid.24381.3c,Karolinska University Hospital,Stockholm,NA,Sweden,FALSE,NA,NA,KAROLINSKA UNIVERSITY HOSPITAL,STOCKHOLM,nan,Sweden,KAROLINSKA UNIV HOSP
grid.5613.1,University of Burgundy,Dijon,Bourgogne,France,FALSE,NA,NA,UNIVERSITY BOURGOGNE,DIJON,nan,France,UNIV BOURGOGNE
NA,NA,NA,NA,NA,NA,NA,NA,PRES BOURGOGNE FRANCHE COMTE,BESAN√áON,nan,France,PRES BOURGOGNE FRANCHE COMTE
NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY TECHNOLOGY BELFORT MONTBELIARD,SEVENANS,nan,France,UNIV TECHNOL BELFORT MONTBELIARD
NA,NA,NA,NA,NA,NA,NA,NA,LABORATORY INTER CARNOT BOURGOGNE ICB,DIJON,nan,France,LAB INTER CARNOT BOURGOGNE ICB
grid.17091.3e,University of British Columbia,Vancouver,British Columbia,Canada,FALSE,NA,NA,UNIVERSITY BRITISH COLUMBIA,VANCOUVER,nan,Canada,UNIV BRITISH COLUMBIA
grid.5395.a,University of Pisa,Pisa,Toscana,Italy,FALSE,NA,NA,UNIVERSITY PISA,PISA,nan,Italy,UNIV PISA
grid.83440.3b,University College London,London,NA,United Kingdom,FALSE,NA,NA,UNIVERSITY COLLEGE LONDON,LONDON,nan,United Kingdom,UNIV COLL LONDON
grid.4464.2,University of London,London,NA,United Kingdom,FALSE,NA,NA,UNIVERSITY LONDON,LONDON,nan,United Kingdom,UNIV LONDON
NA,NA,NA,NA,NA,NA,NA,NA,GREAT ORMOND ST CHILDRENS NHS TRUST,LONDON,nan,United Kingdom,GREAT ORMOND ST CHILDRENS NHST
NA,NA,NA,NA,NA,NA,NA,NA,AZIENDA OSPED UNIVERSITY MEYER,FLORENCE,nan,Italy,AZIENDA OSPED UNIV MEYER
grid.8404.8,University of Florence,Florence,Toscana,Italy,FALSE,NA,NA,UNIVERSITY FIRENZE,FLORENCE,nan,Italy,UNIV FIRENZE
grid.5771.4,Universit√§t Innsbruck,Innsbruck,NA,Austria,FALSE,NA,NA,MEDICINE UNIVERSITY INNSBRUCK,INNSBRUCK,nan,Austria,MED UNIV INNSBRUCK
grid.411461.7,University of Tennessee at Knoxville,Knoxville,Tennessee,United States,FALSE,NA,NA,UNIVERSITY TENNESSEE - KNOXVILLE,KNOXVILLE,nan,United States,UNIV TENNESSEE - KNOXVILLE
grid.267305.5,University of Tennessee System,Knoxville,Tennessee,United States,FALSE,NA,NA,UNIVERSITY TENNESSEE SYSTEM,KNOXVILLE,nan,United States,UNIV TENNESSEE SYST
grid.38348.34,National Tsing Hua University,Hsinchu,NA,Taiwan,FALSE,NA,NA,NATIONAL TSING HUA UNIVERSITY,HSINCHU,nan,Taiwan,NATL TSING HUA UNIV
grid.410711.2,University of North Carolina System,Chapel Hill,North Carolina,United States,FALSE,NA,NA,UNIVERSITY NORTH CAROLINA SYSTEM,CHAPEL HILL,nan,United States,UNIV N CAROLINA SYSTEM
grid.10698.36,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,United States,FALSE,NA,NA,UNIVERSITY NORTH CAROLINA - CHAPEL HILL,CHAPEL HILL,nan,United States,UNIV N CAROLINA - CHAPEL HILL
grid.8250.f,Durham University,Durham,NA,United Kingdom,FALSE,NA,NA,UNIVERSITY DURHAM,DURHAM,nan,United Kingdom,UNIV DURHAM
grid.25055.37,Memorial University of Newfoundland,St. John's,Newfoundland and Labrador,Canada,TRUE,NA,NA,MEM UNIVERSITY NEWFOUNDLAND,SAINT JOHNS,nan,Canada,MEM UNIV NEWFOUNDLAND
grid.30064.31,Washington State University,Pullman,Washington,United States,FALSE,NA,NA,WASHINGTON STATE UNIVERSITY,PULLMAN,nan,United States,WASHINGTON STATE UNIV
grid.411031.6,Purdue University System,West Lafayette,Indiana,United States,FALSE,NA,NA,PURDUE UNIVERSITY SYSTEM,WEST LAFAYETTE,nan,United States,PURDUE UNIV SYST
grid.169077.e,Purdue University West Lafayette,West Lafayette,Indiana,United States,FALSE,NA,NA,PURDUE UNIVERSITY - LAFAYETTE,WEST LAFAYETTE,nan,United States,PURDUE UNIV - LAFAYETTE
grid.36425.36,Stony Brook University,Stony Brook,New York,United States,FALSE,NA,NA,SUNY STONY BROOK,STONY BROOK,nan,United States,SUNY STONY BROOK
grid.214458.e,University of Michigan‚ÄìAnn Arbor,Ann Arbor,Michigan,United States,FALSE,NA,NA,UNIVERSITY MICHIGAN - ANN ARBOR,ANN ARBOR,nan,United States,UNIV MICHIGAN - ANN ARBOR
grid.214458.e,University of Michigan‚ÄìAnn Arbor,Ann Arbor,Michigan,United States,FALSE,NA,NA,UNIVERSITY MICHIGAN BOARD REGENTS,ANN ARBOR,nan,United States,UNIV MICHIGAN BOARD REGENTS
grid.266100.3,"University of California, San Diego",San Diego,California,United States,FALSE,NA,NA,UNIVERSITY CALIFORNIA SAN DIEGO,SAN DIEGO,nan,United States,UNIV CALIF SAN DIEGO
grid.10388.32,University of Bonn,Bonn,NA,Germany,FALSE,NA,NA,RFW UNIVERSITY BONN,BONN,nan,Germany,RFW UNIV BONN
grid.32224.35,Massachusetts General Hospital,Boston,Massachusetts,United States,FALSE,NA,NA,MASSACHUSETTS GEN HOSPITAL,BOSTON,nan,United States,MASSACHUSETTS GEN HOSP
grid.461656.6,"Ragon Institute of MGH, MIT and Harvard",Cambridge,Massachusetts,United States,FALSE,NA,NA,RAGON INSTITUTE,CAMBRIDGE,nan,United States,RAGON INST
NA,NA,NA,NA,NA,NA,NA,NA,LEIBNIZ INSTITUTE EXPT VIROL,HAMBURG,nan,Germany,LEIBNIZ INST EXPT VIROL
grid.5685.e,University of York,York,York,United Kingdom,FALSE,NA,NA,UNIVERSITY YORK,YORK,nan,United Kingdom,UNIV YORK
grid.268187.2,Western Michigan University,Kalamazoo,Michigan,United States,FALSE,NA,NA,WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,nan,United States,WESTERN MICHIGAN UNIV
grid.297878.b,University of Montana System,Helena,Montana,United States,FALSE,NA,NA,MONTANA UNIVERSITY SYS,HELENA,nan,United States,MONTANA UNIV SYS
grid.41891.35,Montana State University,Bozeman,Montana,United States,FALSE,NA,NA,MONTANA STATE UNIVERSITY SYS,HELENA,nan,United States,MONTANA STATE UNIV SYS
grid.41891.35,Montana State University,Bozeman,Montana,United States,FALSE,NA,NA,MONTANA STATE UNIVERSITY,BOZEMAN,nan,United States,MONTANA STATE UNIV
grid.412502.0,Shahid Beheshti University,Tehran,NA,Iran,FALSE,NA,NA,SHAHID BEHESHTI UNIVERSITY MEDICINE SCIENCE,TEHRAN,nan,Iran,SHAHID BEHESHTI UNIV MED SCI
grid.266842.c,University of Newcastle Australia,Newcastle,New South Wales,Australia,FALSE,NA,NA,UNIVERSITY NEWCASTLE,NEWCASTLE,nan,Australia,UNIV NEWCASTLE
grid.1014.4,Flinders University,Adelaide,South Australia,Australia,FALSE,NA,NA,FLINDERS UNIVERSITY,ADELAIDE,nan,Australia,FLINDERS UNIV
grid.1026.5,University of South Australia,Adelaide,South Australia,Australia,FALSE,NA,NA,UNIVERSITY  SOUTHERN AUSTRALIA,ADELAIDE,nan,Australia,UNIV SO AUSTRALIA
grid.6979.1,Silesian University of Technology,Gliwice,NA,Poland,FALSE,NA,NA,SILESIAN UNIVERSITY TECHNOLOGY,GLIWICE,nan,Poland,SILESIAN UNIV TECHNOL
grid.7459.f,University of Franche-Comt√©,Besan√ßon,NA,France,FALSE,NA,NA,UNIVERSITY FRANCHE COMTE BESANCON,BESAN√áON,nan,France,UNIV FRANCHE COMTE BESANCON
